date,btc amount,eth amount,portfolio($),event,BTCUSDT,ETHUSDT
1641416240000,1.138,13.9322,100000.0, ,43938.09,3588.81
1641416280000,1.138,13.9322,100002.4168,do nothing,43942.54,3588.62
1641416340000,1.138,13.9322,99934.5878,do nothing,43912.93,3586.17
1641416400000,0.2282,25.0635,100097.6946,Sell BTC and buy ETH,43967.01,3593.46
1641416460000,0.2282,25.0635,100587.3161,do nothing,44176.27,3611.09
1641416520000,0.2282,25.0635,100506.4291,do nothing,44135.93,3608.23
1641416580000,0.2282,25.0635,100550.2131,do nothing,44130.1,3610.03
1641416640000,0.2282,25.0635,100608.6705,do nothing,44123.77,3612.42
1641416700000,0.2282,25.0635,100604.5215,do nothing,44111.08,3612.37
1641416760000,1.1329,14.0149,100828.0703,Buy BTC and sell ETH,44212.05,3620.37
1641416820000,0.2303,25.0264,101114.8682,Sell BTC and buy ETH,44314.03,3632.59
1641416880000,0.2303,25.0264,101140.3844,do nothing,44311.81,3633.63
1641416940000,0.2303,25.0264,100996.3084,do nothing,44240.41,3628.53
1641417000000,0.2303,25.0264,100905.6308,do nothing,44217.23,3625.12
1641417060000,0.2303,25.0264,100860.3223,do nothing,44194.36,3623.52
1641417120000,0.2303,25.0264,100723.0153,do nothing,44161.05,3618.34
1641417180000,1.1356,13.9758,100761.9621,Buy BTC and sell ETH,44181.29,3619.71
1641417240000,0.2307,25.0131,100849.058,Sell BTC and buy ETH,44204.45,3624.06
1641417300000,0.2307,25.0131,100822.9331,do nothing,44185.54,3623.19
1641417360000,0.2307,25.0131,100637.4079,do nothing,44106.72,3616.5
1641417420000,0.2307,25.0131,100416.3614,do nothing,44058.24,3608.11
1641417480000,0.2307,25.0131,100333.8246,do nothing,44034.42,3605.03
1641417540000,0.2307,25.0131,100425.5304,do nothing,44099.06,3608.1
1641417600000,1.1389,13.9254,100400.7351,Buy BTC and sell ETH,44044.72,3607.61
1641417660000,1.1389,13.9254,100440.7714,do nothing,44057.62,3609.43
1641417720000,0.2326,24.9812,100648.7505,Sell BTC and buy ETH,44135.08,3618.03
1641417780000,0.2326,24.9812,100513.3075,do nothing,44089.78,3613.03
1641417840000,0.2326,24.9812,100298.5702,do nothing,44000.0,3605.27
1641417900000,0.2326,24.9812,100290.7572,do nothing,44004.0,3604.92
1641417960000,0.2326,24.9812,100177.5997,do nothing,43968.59,3600.72
1641418020000,0.2326,24.9812,100176.2301,do nothing,43954.11,3600.8
1641418080000,1.1432,13.8557,100034.4857,Buy BTC and sell ETH,43927.9,3595.37
1641418140000,1.1432,13.8557,99882.4139,do nothing,43854.75,3590.43
1641418200000,1.1432,13.8557,100128.5557,do nothing,43968.13,3598.84
1641418260000,1.1432,13.8557,99967.1047,do nothing,43888.23,3593.78
1641418320000,1.1432,13.8557,99266.4074,do nothing,43564.73,3569.9
1641418380000,1.1432,13.8557,99474.943,do nothing,43652.85,3577.68
1641418440000,1.1432,13.8557,99479.3956,do nothing,43675.41,3576.14
1641418500000,1.1432,13.8557,99206.0463,do nothing,43561.38,3565.82
1641418560000,1.1432,13.8557,99244.8128,do nothing,43594.2,3565.91
1641418620000,1.1432,13.8557,99223.464,do nothing,43592.13,3564.54
1641418680000,1.1432,13.8557,99124.3917,do nothing,43577.34,3558.61
1641418740000,1.1432,13.8557,99237.1298,do nothing,43639.96,3561.58
1641418800000,1.1432,13.8557,99154.8175,do nothing,43603.47,3558.65
1641418860000,1.1432,13.8557,99581.7299,do nothing,43781.41,3574.78
1641418920000,1.1432,13.8557,99521.5939,do nothing,43773.53,3571.09
1641418980000,1.1432,13.8557,99381.2953,do nothing,43703.77,3566.72
1641419040000,1.1432,13.8557,99243.4157,do nothing,43660.73,3560.32
1641419100000,1.1432,13.8557,99247.5021,do nothing,43672.91,3559.61
1641419160000,1.1432,13.8557,99572.2264,do nothing,43812.73,3571.51
1641419220000,1.1432,13.8557,99654.4241,do nothing,43842.09,3575.02
1641419280000,1.1432,13.8557,99615.5708,do nothing,43825.92,3573.55
1641419340000,1.1432,13.8557,99590.6144,do nothing,43809.18,3573.13
1641419400000,1.1432,13.8557,99773.2676,do nothing,43918.05,3577.33
1641419460000,1.1432,13.8557,99899.4258,do nothing,43936.05,3584.95
